age,workclass,fnlwgt,edunum,marital,occupation,relationship,race,sex,capitalgain,capitalloss,hours,native,income
41,0,48,11,1,6,1,0,0,0,0,40,0, <=50K
29,2,49,11,0,3,0,0,0,0,0,43,0, <=50K
25,2,50,10,1,1,2,4,1,0,0,40,0, <=50K
18,2,51,9,0,4,3,0,1,0,0,30,4, <=50K
47,2,52,15,1,3,2,0,1,0,1902,60,8, >50K
50,3,53,13,2,1,0,0,0,0,0,55,0, >50K
47,6,54,9,2,1,0,0,0,0,0,60,0, <=50K
43,2,55,10,1,10,1,0,0,0,0,40,0, >50K
46,2,56,3,1,9,1,0,0,0,0,40,5, <=50K
35,2,57,11,1,4,1,0,0,0,0,40,7, <=50K
41,2,58,9,1,0,1,0,0,0,0,48,0, <=50K
30,2,59,9,1,9,1,0,0,5013,0,40,0, <=50K
30,2,60,13,1,5,1,0,0,2407,0,40,0, <=50K
32,5,61,4,3,11,0,0,0,0,0,40,4, <=50K
48,2,62,9,1,7,1,0,0,0,0,40,0, <=50K
42,2,63,16,1,3,1,0,0,0,0,45,0, >50K
29,2,64,10,2,10,0,0,0,0,0,58,0, <=50K
36,2,65,9,1,6,1,0,0,0,0,40,0, <=50K
28,2,66,10,2,0,0,0,1,0,0,40,0, <=50K
53,2,67,9,1,0,2,0,1,0,0,40,0, >50K
49,6,68,10,1,1,1,0,0,0,0,50,0, >50K
25,5,69,10,0,11,3,0,0,0,0,40,0, <=50K
19,2,70,10,0,3,3,0,0,0,0,32,0, <=50K
31,2,71,13,4,5,3,1,1,0,0,40,0, <=50K
29,1,72,13,1,5,1,0,0,0,0,70,0, >50K
23,2,73,10,0,9,0,0,0,0,0,40,0, <=50K
79,2,74,10,1,3,5,0,0,0,0,20,0, <=50K
27,2,75,9,0,4,3,0,0,0,0,40,5, <=50K
40,2,76,12,1,0,1,0,0,0,0,40,0, <=50K
67,5,77,6,1,11,1,0,0,0,0,2,0, <=50K
18,2,78,7,0,4,3,0,1,0,0,22,0, <=50K
31,4,79,4,1,8,1,0,0,0,0,40,0, <=50K
18,2,80,9,0,5,0,0,0,0,0,30,0, <=50K
52,2,81,13,1,4,1,0,0,0,0,40,1, <=50K
46,2,82,9,1,4,2,0,1,0,0,40,0, <=50K
59,2,83,9,1,5,1,0,0,0,0,48,0, <=50K
44,2,84,9,2,6,0,0,1,14344,0,40,0, >50K
53,2,85,9,2,5,3,0,1,0,0,35,0, <=50K
49,4,86,9,1,12,1,0,0,0,0,40,0, >50K
33,2,87,14,1,3,1,0,0,0,0,50,0, <=50K
30,2,88,5,0,5,0,0,0,0,0,40,0, <=50K
43,3,89,16,0,3,0,0,1,0,0,50,0, >50K
57,2,90,11,1,3,1,0,0,0,0,40,0, <=50K
37,2,91,10,2,6,4,0,1,0,0,40,0, <=50K
28,2,92,10,2,9,4,1,1,0,0,25,0, <=50K
30,2,93,9,1,5,2,2,1,0,1573,35,4, <=50K
34,4,94,13,1,12,1,0,0,0,0,40,0, >50K
29,4,95,10,0,2,0,0,0,0,0,50,0, <=50K
48,1,96,16,1,3,1,0,0,0,1902,60,0, >50K
37,2,97,10,1,5,1,0,0,0,0,48,0, >50K
48,2,98,12,2,1,4,0,1,0,0,40,9, <=50K
32,3,99,9,0,4,3,1,0,0,0,40,0, <=50K
76,2,100,14,1,1,1,0,0,0,0,40,0, >50K
44,2,101,13,1,1,1,0,0,15024,0,60,0, >50K
47,1,102,14,0,3,0,0,1,0,0,50,0, <=50K
20,2,103,10,0,10,3,0,1,0,0,40,0, <=50K
29,2,104,9,0,6,0,0,0,0,0,40,0, <=50K
32,6,105,9,1,6,1,0,0,7688,0,40,0, >50K
17,5,106,6,0,11,3,0,1,34095,0,32,0, <=50K
30,2,107,7,0,2,3,0,0,0,0,40,0, <=50K
31,4,108,9,0,0,0,0,1,0,0,40,0, <=50K
42,2,109,9,1,2,1,0,0,0,0,40,0, <=50K
24,2,110,13,0,5,5,0,0,0,0,40,0, <=50K
38,2,111,15,1,3,1,0,0,0,0,40,0, >50K
56,1,112,9,1,4,1,0,0,0,1887,50,10, >50K
28,2,113,10,1,5,2,0,1,4064,0,25,0, <=50K
36,2,114,9,0,9,3,0,1,0,0,40,0, <=50K
53,2,115,5,1,2,1,0,0,0,0,50,0, <=50K
56,6,116,10,1,5,1,0,0,0,0,50,0, <=50K
49,4,117,11,1,6,1,1,0,0,0,40,0, >50K
55,2,118,10,1,5,1,0,0,0,0,56,0, <=50K
22,2,119,9,0,6,0,0,0,0,0,41,0, <=50K
21,2,120,10,0,4,3,0,1,0,0,40,0, <=50K
40,2,121,13,1,1,1,0,0,0,0,60,0, <=50K
30,2,122,13,0,1,3,1,0,0,0,40,11, <=50K
29,0,123,13,1,3,1,0,0,0,0,50,0, >50K
19,2,124,10,0,4,3,1,0,0,0,35,0, <=50K
47,2,125,13,1,1,2,0,1,0,0,40,0, >50K
20,2,126,10,0,0,3,0,1,0,1719,28,0, <=50K
31,2,127,12,1,0,1,0,0,0,0,40,0, >50K
35,5,128,9,1,11,1,0,0,0,0,40,0, <=50K
39,2,129,10,2,6,0,0,0,0,0,40,0, <=50K
28,2,130,12,0,5,0,0,1,0,0,60,0, <=50K
24,2,131,9,0,4,0,0,1,0,1762,40,0, <=50K
38,1,132,9,1,6,1,0,0,4386,0,35,0, <=50K
37,2,133,13,1,5,1,0,0,0,0,50,0, <=50K
46,2,134,12,2,10,0,1,1,0,0,36,0, <=50K
38,3,135,14,1,3,1,0,0,0,0,40,12, >50K
43,1,136,9,1,6,1,0,0,0,0,60,0, <=50K
27,2,137,11,1,0,2,0,1,0,0,35,0, <=50K
20,2,138,10,0,5,3,0,0,0,0,20,0, <=50K
49,2,139,10,1,6,1,2,0,0,0,40,0, >50K
61,6,140,9,1,6,1,0,0,0,0,40,0, <=50K
27,2,141,10,0,5,3,0,1,0,0,40,0, <=50K
19,2,142,10,0,4,3,0,0,0,0,30,5, <=50K
45,2,143,11,0,3,0,0,1,0,1564,40,0, >50K
70,2,144,10,0,10,5,0,0,0,0,40,0, <=50K
31,2,145,9,0,7,4,1,1,0,0,30,0, <=50K
22,2,146,10,1,4,1,0,0,0,0,24,0, <=50K
36,2,147,9,6,4,4,0,1,0,0,24,0, <=50K
64,2,148,7,1,6,1,0,0,0,2179,40,0, <=50K
43,5,149,10,2,11,0,0,1,0,0,40,0, <=50K
47,4,150,10,2,0,4,0,1,0,0,38,5, <=50K
34,2,151,9,0,0,0,0,1,0,0,40,0, <=50K
33,2,152,13,0,1,5,2,1,0,0,40,13, <=50K
21,2,153,9,0,6,3,0,0,0,0,35,0, <=50K
52,5,154,9,2,11,0,0,0,0,0,45,0, >50K
48,2,155,9,1,6,1,0,0,0,0,46,0, <=50K
23,2,156,13,0,2,0,0,0,0,0,40,0, <=50K
71,1,157,10,4,5,4,1,0,0,1816,2,0, <=50K
29,2,158,9,2,6,0,0,0,0,0,60,0, <=50K
42,2,159,13,4,4,5,1,0,0,0,50,0, <=50K
68,5,160,2,2,11,0,0,1,0,0,20,0, <=50K
25,2,161,9,0,4,4,0,1,0,0,40,0, <=50K
44,6,162,14,2,1,4,2,1,0,0,40,0, <=50K
28,2,163,9,0,1,0,2,1,0,0,40,9, <=50K
45,1,164,14,1,5,1,0,0,0,0,40,0, >50K
36,2,165,10,2,4,4,0,1,0,0,40,5, <=50K
39,3,166,12,0,1,0,0,0,0,0,42,0, <=50K
46,0,167,14,6,12,4,0,0,0,0,40,0, <=50K
18,2,168,7,0,2,3,0,0,0,0,16,0, <=50K
66,4,169,11,6,3,0,0,1,0,0,20,0, <=50K
27,2,170,9,0,4,0,0,0,0,1980,40,0, <=50K
28,0,171,9,1,12,1,0,0,0,0,40,0, <=50K
51,2,172,10,1,5,1,0,0,0,1977,40,0, >50K
27,2,173,13,0,6,0,0,0,0,0,50,0, <=50K
28,0,174,13,1,3,1,0,0,0,0,40,0, >50K
27,2,175,9,3,5,4,0,1,0,0,25,0, <=50K
21,2,176,9,0,6,3,1,0,0,0,40,0, <=50K
34,2,177,9,0,2,0,1,0,0,0,40,0, <=50K
18,2,178,9,0,4,3,0,0,0,0,12,0, <=50K
33,2,179,13,1,3,1,0,0,0,0,65,0, <=50K
44,4,180,10,1,1,1,1,0,0,0,38,0, >50K
43,2,181,10,2,0,0,0,1,0,0,40,0, <=50K
30,2,182,10,0,6,0,1,0,0,0,45,0, <=50K
40,2,183,4,1,9,1,0,0,0,0,40,5, >50K
37,3,184,10,1,0,1,0,0,0,0,42,0, >50K
34,2,185,9,1,0,1,1,0,0,0,40,0, <=50K
41,1,186,13,2,1,0,0,1,0,0,40,0, <=50K
53,5,187,13,2,11,0,0,1,0,0,50,0, <=50K
31,2,188,14,1,3,2,0,1,0,0,50,0, <=50K
58,0,189,16,1,3,1,0,0,0,0,1,0, >50K
38,2,190,10,2,9,0,1,1,0,0,28,0, <=50K
24,2,191,10,1,9,1,0,0,0,0,40,0, <=50K
41,4,192,13,1,6,1,1,0,0,0,40,0, <=50K
47,2,193,10,1,10,1,0,0,0,0,45,0, <=50K
41,3,194,13,1,10,1,0,0,0,0,24,0, <=50K
23,2,195,3,1,7,5,0,0,0,0,40,5, <=50K
36,2,196,10,2,6,0,0,0,0,0,40,0, <=50K
40,3,197,14,0,1,0,0,1,14084,0,55,0, >50K
35,2,198,14,1,3,5,0,0,7298,0,40,0, >50K
24,1,199,9,0,5,0,0,0,0,0,40,0, <=50K
26,2,200,14,0,3,0,0,1,0,1876,40,0, <=50K
19,5,201,9,0,11,3,0,0,0,0,40,14, <=50K
51,2,202,13,1,1,1,0,0,0,0,50,0, >50K
42,4,203,10,0,3,0,0,1,0,1340,40,0, <=50K
37,0,204,9,2,0,4,0,1,0,0,35,0, <=50K
18,2,205,7,0,5,3,0,1,0,0,40,0, <=50K
36,2,206,13,1,4,1,1,0,7298,0,36,0, >50K
35,2,207,9,2,6,0,0,0,0,0,60,0, <=50K
58,6,208,9,1,5,2,0,1,15024,0,35,0, >50K
17,2,209,7,0,5,3,0,1,0,0,12,0, <=50K
44,4,210,9,1,7,1,1,0,0,0,40,0, <=50K
37,2,211,9,1,6,1,0,0,0,0,40,0, >50K
35,2,212,10,0,5,0,3,1,0,0,40,0, <=50K
60,2,213,9,1,6,1,2,0,0,0,40,0, <=50K
54,6,214,4,1,9,1,0,0,0,0,40,0, >50K
37,2,215,13,0,1,0,1,0,0,0,60,0, >50K
50,2,216,12,2,5,0,0,1,0,0,40,0, <=50K
38,2,217,13,1,5,1,0,0,0,0,50,15, <=50K
45,2,218,13,1,3,1,0,0,0,0,55,0, <=50K
25,2,219,6,0,6,0,0,0,0,0,40,0, <=50K
31,2,220,10,1,2,1,0,0,0,0,40,0, <=50K
64,5,221,2,2,11,0,0,0,0,0,40,0, <=50K
90,2,222,9,0,4,0,1,0,0,2206,40,0, <=50K
54,2,223,9,1,0,1,1,0,0,0,20,0, <=50K
53,4,224,1,0,9,0,0,1,0,0,35,0, <=50K
18,2,225,9,0,5,3,0,1,0,0,40,0, <=50K
60,5,226,6,2,11,0,3,1,0,0,10,0, <=50K
66,1,227,9,1,8,1,0,0,1409,0,50,0, <=50K
75,2,228,11,6,0,0,0,1,0,0,20,16, <=50K
65,2,229,9,2,0,0,0,1,0,0,40,0, <=50K
35,2,230,7,4,7,0,1,0,3674,0,40,0, <=50K
41,2,231,9,2,5,4,1,1,0,0,38,0, <=50K
25,2,232,10,0,0,0,0,0,0,0,42,0, <=50K
33,2,233,10,2,6,5,4,1,0,0,40,0, <=50K
28,2,234,15,0,3,0,0,0,0,0,55,0, >50K
59,0,235,9,1,4,1,0,0,0,0,40,0, <=50K
40,0,236,10,0,0,0,0,1,0,0,38,0, <=50K
41,2,237,13,1,1,1,0,0,0,0,50,12, >50K
38,4,238,14,1,1,1,0,0,0,0,70,0, >50K
23,2,239,9,0,7,3,0,0,0,0,40,0, <=50K
40,2,240,13,1,3,1,0,0,0,0,40,0, >50K
41,1,241,9,1,4,2,0,1,0,0,20,0, <=50K
24,0,242,12,1,12,1,0,0,0,0,50,0, <=50K
20,5,243,10,0,11,3,0,0,0,0,20,0, <=50K
38,2,244,10,2,6,0,0,0,0,1741,40,0, <=50K
56,2,245,9,1,0,1,0,0,0,0,35,4, <=50K
58,2,246,9,1,0,1,0,0,0,0,45,0, >50K
32,2,247,9,0,4,0,0,1,0,0,34,0, <=50K
40,2,248,12,1,10,1,0,0,0,1977,60,0, >50K
45,2,249,9,1,0,1,0,0,0,0,40,4, <=50K
41,2,250,15,1,3,2,0,1,0,0,40,0, >50K
42,2,251,13,1,0,2,1,1,0,0,40,0, <=50K
59,4,252,6,6,4,4,1,1,0,0,30,0, <=50K
19,4,253,10,0,0,3,0,0,0,0,40,0, <=50K
58,2,254,10,0,7,0,0,0,0,0,20,0, <=50K
42,1,255,9,1,8,1,2,0,0,0,40,17, >50K
20,2,256,9,0,4,3,0,1,0,0,40,0, <=50K
32,2,257,9,4,4,0,0,1,0,0,30,0, <=50K
45,2,258,11,6,1,0,0,1,0,0,45,0, <=50K
50,2,259,4,2,6,0,0,0,0,0,40,0, <=50K
36,2,260,13,2,3,3,0,1,0,0,40,0, <=50K
45,2,261,9,1,5,1,0,0,0,0,60,0, <=50K
17,2,262,7,0,4,3,0,0,0,0,12,0, <=50K
59,2,263,10,1,5,1,0,0,4064,0,40,0, <=50K
26,2,264,7,1,6,1,0,0,0,0,40,0, <=50K
37,6,265,10,1,1,1,2,0,0,0,75,18, >50K
19,5,266,10,0,11,3,0,0,0,0,24,10, <=50K
64,2,267,9,1,1,1,0,0,0,0,40,0, >50K
33,2,268,13,0,3,0,0,1,0,0,45,0, <=50K
33,2,269,9,1,6,2,0,1,0,0,40,0, >50K
61,2,270,9,1,1,1,0,0,0,0,40,0, >50K
17,2,271,5,0,4,3,0,0,1055,0,24,0, <=50K
50,1,272,14,1,8,1,0,0,2407,0,98,0, <=50K
27,4,273,14,0,3,3,0,0,0,0,35,0, <=50K
30,2,274,9,2,3,3,0,1,0,0,40,0, <=50K
43,2,275,9,1,2,1,1,0,0,0,40,0, <=50K
44,2,276,10,1,6,1,0,0,7298,0,40,0, >50K
35,2,277,10,0,1,0,0,1,0,0,40,0, <=50K
25,2,278,10,0,10,3,0,1,0,0,40,0, <=50K
24,2,279,10,1,9,2,0,1,7298,0,48,0, >50K
22,2,280,13,0,3,0,0,1,0,0,15,11, <=50K
42,4,281,10,1,6,1,0,0,5178,0,40,0, >50K
34,2,282,12,2,5,4,1,1,0,0,45,0, <=50K
60,2,283,13,2,3,0,0,1,0,0,42,0, <=50K
21,2,284,9,0,2,3,0,0,0,0,40,0, <=50K
57,3,285,14,1,5,1,0,0,15024,0,40,0, >50K
41,2,286,15,1,3,1,0,0,0,0,60,0, >50K
50,2,287,10,2,4,0,0,0,0,0,45,0, <=50K
25,2,288,13,0,1,0,0,1,0,0,40,0, <=50K
50,2,289,4,1,6,1,0,0,0,0,40,19, <=50K
36,2,290,13,1,3,1,0,0,0,0,45,0, <=50K
31,2,291,9,2,3,0,0,1,0,0,40,0, <=50K
29,4,292,13,0,12,0,0,0,0,0,56,0, <=50K
21,2,293,10,0,5,3,0,0,0,0,45,0, <=50K
27,2,294,13,0,10,4,1,1,0,0,40,0, <=50K
65,2,295,9,1,7,1,0,0,0,0,16,0, <=50K
37,6,296,13,2,5,0,0,1,0,0,60,0, <=50K
39,5,297,14,1,11,2,2,1,3464,0,40,4, <=50K
24,2,298,9,0,6,3,0,0,0,0,40,0, <=50K
38,2,299,9,2,5,0,0,0,0,0,80,0, <=50K
48,2,300,13,1,0,1,0,0,7688,0,40,0, >50K
21,2,301,10,0,4,0,2,1,0,0,25,0, <=50K
31,2,302,9,1,7,1,0,0,0,0,45,0, >50K
55,2,303,9,1,5,1,0,0,4386,0,40,0, >50K
24,2,304,10,1,0,2,2,1,0,0,40,20, <=50K
43,2,305,9,2,0,0,0,1,0,0,40,0, <=50K
26,2,306,12,0,10,0,0,0,0,0,45,0, <=50K
46,2,307,12,0,3,0,0,1,0,0,33,0, <=50K
35,2,308,12,1,0,1,0,0,0,0,40,0, >50K
41,6,309,10,1,8,1,0,0,0,0,54,0, >50K
26,2,310,13,0,5,0,0,0,0,0,40,0, <=50K
34,2,311,14,1,1,1,2,0,7298,0,35,21, >50K
19,5,312,10,0,11,3,1,1,0,0,25,0, <=50K
36,1,313,13,2,3,0,1,1,0,0,40,0, >50K
22,2,314,10,0,5,3,0,0,0,0,15,0, <=50K
24,2,315,10,0,9,0,0,0,0,0,40,0, <=50K
77,1,316,10,1,5,1,0,0,0,0,40,0, <=50K
22,2,317,3,1,9,5,0,1,0,0,40,5, <=50K
29,2,318,10,0,10,0,0,1,0,0,40,0, <=50K
62,2,319,9,6,4,0,0,1,0,0,24,0, <=50K
39,1,320,9,1,1,1,0,0,0,0,40,0, <=50K
43,2,321,10,1,6,1,0,0,0,1485,50,0, <=50K
35,2,322,9,2,7,0,0,0,0,0,45,0, <=50K
29,2,323,7,0,1,0,0,1,0,0,40,0, <=50K
76,1,324,14,1,6,1,0,0,0,0,10,0, <=50K
63,1,325,9,1,8,1,0,0,0,0,45,0, <=50K
23,5,326,11,0,11,3,1,1,0,0,15,0, <=50K
43,2,327,10,1,3,2,0,1,0,1887,50,0, >50K
58,1,328,9,1,2,1,0,0,0,0,40,0, <=50K
66,2,329,9,0,7,0,0,0,2050,0,55,0, <=50K
41,2,330,10,0,6,0,1,0,0,0,45,0, <=50K
26,2,331,13,0,0,0,0,0,0,0,40,0, <=50K
47,2,332,11,0,4,0,0,0,0,0,40,0, <=50K
55,4,333,6,1,0,1,0,0,0,0,40,0, <=50K
53,2,334,9,1,7,1,0,0,0,0,40,0, <=50K
17,2,335,3,0,4,5,0,0,0,0,48,5, <=50K
30,2,336,9,0,6,5,0,0,0,0,40,0, <=50K
49,2,337,14,0,3,0,0,0,0,0,60,0, <=50K
19,2,338,9,0,5,4,1,0,0,0,30,22, <=50K
45,2,339,9,1,4,1,1,0,0,0,40,0, <=50K
26,2,340,12,0,5,0,0,0,0,0,40,0, <=50K
38,2,341,11,1,6,1,0,0,7298,0,40,0, >50K
36,0,342,9,1,12,1,0,0,7298,0,40,0, >50K
33,2,343,9,0,8,0,0,0,0,0,20,0, <=50K
22,0,344,10,0,12,3,1,1,0,0,40,0, <=50K
43,1,345,13,0,5,0,0,0,0,0,42,0, <=50K
67,5,346,7,1,11,1,0,0,0,0,8,0, <=50K
30,5,347,11,2,11,4,0,1,0,0,40,0, <=50K
56,2,348,12,3,4,0,0,0,0,0,25,12, <=50K
31,2,349,13,0,3,3,0,0,0,0,25,0, <=50K
33,2,350,13,1,1,1,0,0,0,0,40,0, >50K
26,2,351,9,1,4,1,0,0,0,0,40,0, <=50K
33,2,352,13,1,1,1,0,0,0,0,40,0, >50K
46,4,353,7,1,7,1,0,0,0,0,30,0, <=50K
59,5,354,13,1,11,1,0,0,0,0,40,0, >50K
38,3,355,9,1,0,1,0,0,0,0,40,0, >50K
65,2,356,7,6,4,4,4,0,0,0,40,0, <=50K
40,2,357,11,1,10,1,0,0,0,0,40,0, >50K
42,2,358,9,1,0,2,0,1,0,0,35,0, <=50K
26,1,359,5,1,6,1,0,0,0,0,40,23, <=50K
36,2,360,6,1,4,2,0,1,0,0,24,0, <=50K
62,2,361,14,1,3,1,0,0,0,0,40,0, >50K
43,2,362,13,1,7,1,0,0,0,0,45,0, <=50K
43,2,363,13,2,1,0,0,0,0,1564,45,0, >50K
22,2,364,9,3,5,0,0,0,0,0,55,0, <=50K
28,2,365,9,1,6,1,0,0,0,0,40,0, <=50K
56,1,366,10,1,5,1,0,0,0,0,45,0, <=50K
22,2,367,12,0,5,0,0,1,0,0,15,0, <=50K
57,2,368,13,2,1,0,0,1,0,0,45,0, >50K
39,2,369,9,2,5,4,0,1,0,0,40,0, <=50K
26,3,370,10,0,0,4,0,1,0,0,15,0, <=50K
17,2,371,7,0,4,3,0,0,0,0,10,0, <=50K
40,0,372,11,1,9,1,0,0,0,0,38,0, >50K
45,2,373,9,1,9,1,1,0,0,0,40,0, <=50K
44,2,374,9,0,6,0,1,0,0,0,40,0, <=50K
20,4,375,10,0,0,3,0,1,0,0,10,0, <=50K
33,2,376,9,1,6,2,0,1,0,0,40,0, <=50K
23,2,377,10,0,5,0,0,0,0,0,40,0, <=50K
46,1,378,14,2,1,0,0,0,0,0,30,0, <=50K
38,2,379,9,1,5,1,0,0,0,0,50,0, <=50K
54,2,380,9,2,7,0,0,0,0,0,40,0, <=50K
46,2,381,3,2,6,0,0,1,0,2339,45,0, <=50K
25,2,382,10,1,6,1,0,0,0,0,40,0, <=50K
46,2,383,10,2,5,0,0,1,0,0,40,0, <=50K
36,4,384,10,1,7,2,0,1,0,0,40,0, <=50K
23,2,385,9,0,4,0,0,1,0,0,25,0, <=50K
29,2,386,9,4,9,0,0,0,0,0,40,0, <=50K
44,2,387,10,1,0,2,0,1,0,2415,6,0, >50K
19,2,388,10,0,0,3,0,1,0,0,16,0, <=50K
19,2,389,9,0,4,5,0,1,0,0,40,0, <=50K
35,2,390,9,1,4,2,0,1,0,0,40,0, >50K
27,2,391,13,0,6,0,0,0,0,0,50,0, <=50K
46,1,392,12,4,6,0,0,0,0,0,40,0, <=50K
34,0,393,13,1,1,1,0,0,7688,0,45,4, >50K
34,2,394,9,0,4,0,0,1,0,0,35,0, <=50K
44,2,395,10,1,10,1,0,0,0,0,40,0, <=50K
45,2,396,10,2,2,4,0,1,0,0,40,0, <=50K
20,5,397,9,0,11,5,0,1,0,0,35,0, <=50K
25,2,398,13,1,1,1,0,0,0,0,55,0, >50K
52,6,399,13,1,1,1,0,0,0,0,50,0, >50K
20,2,400,10,0,2,3,0,0,0,0,40,0, <=50K
28,2,401,10,0,4,0,0,1,0,0,40,0, <=50K
50,0,402,13,1,12,1,0,0,0,0,40,0, >50K
34,2,403,11,2,10,0,0,1,0,0,64,0, <=50K
28,2,404,4,1,2,1,4,0,0,2179,40,7, <=50K
41,2,405,14,1,1,1,0,0,0,1977,65,0, >50K
28,2,406,9,1,0,1,0,0,0,0,40,0, <=50K
46,1,407,9,1,6,1,0,0,0,0,25,0, <=50K
28,5,408,10,1,11,2,0,1,0,1887,40,0, >50K
32,2,409,10,1,1,1,0,0,0,0,50,0, <=50K
41,4,410,10,2,4,0,1,1,0,0,24,0, <=50K
24,2,411,9,0,2,4,1,1,0,0,40,0, <=50K
33,2,412,10,2,1,4,0,1,0,0,40,0, <=50K
46,2,413,16,1,1,1,0,0,15024,0,60,0, >50K
31,0,414,10,1,9,1,0,0,0,0,40,0, <=50K
35,2,415,8,2,6,0,0,0,0,0,50,0, >50K
52,2,416,2,1,9,1,0,0,0,0,40,5, <=50K
30,2,417,7,0,4,3,0,1,0,0,19,0, <=50K
34,4,418,7,4,9,0,1,0,0,0,40,0, <=50K
34,0,419,9,2,7,4,0,1,0,0,40,0, <=50K
20,2,420,10,1,5,1,0,0,0,0,30,0, <=50K
17,2,421,7,0,2,3,0,0,2176,0,18,0, <=50K
32,0,422,13,1,1,2,0,1,0,0,40,0, >50K
29,2,423,9,2,8,0,0,0,0,0,40,0, <=50K
33,2,424,6,0,6,4,0,1,0,0,35,0, <=50K
25,2,425,9,1,7,1,0,0,0,0,60,0, <=50K
36,3,426,14,0,3,0,0,0,0,1408,40,0, <=50K
23,2,427,9,0,2,0,0,0,0,0,72,24, <=50K
63,6,428,9,1,1,1,0,0,0,0,40,0, >50K
47,4,429,14,1,3,1,0,0,0,0,40,0, <=50K
80,5,430,9,6,11,0,0,0,0,0,24,0, <=50K
17,5,431,7,0,11,3,0,0,0,0,40,0, <=50K
40,1,432,13,3,3,0,0,1,2174,0,40,0, <=50K
30,2,433,12,1,4,2,0,1,0,0,25,0, >50K
27,2,434,10,0,6,3,2,0,0,1980,40,13, <=50K
33,2,435,14,1,3,1,0,0,0,0,50,0, >50K
34,4,436,9,0,8,0,1,0,594,0,60,0, <=50K
34,4,437,10,0,12,0,0,1,0,0,40,0, <=50K
23,2,438,10,1,0,1,0,0,0,0,40,0, <=50K
42,4,439,10,1,0,2,0,1,0,0,40,0, <=50K
29,2,440,13,0,3,0,0,0,0,0,40,0, <=50K
45,2,441,9,2,0,0,0,1,0,0,28,0, <=50K
24,3,442,9,0,13,3,0,0,0,0,40,0, <=50K
44,2,63,10,1,3,1,0,0,0,0,40,0, >50K
27,2,443,5,0,6,5,0,0,0,0,40,5, <=50K
20,2,444,10,0,5,0,0,0,0,0,35,0, <=50K
44,2,445,9,6,1,4,1,1,0,0,40,0, <=50K
51,2,446,9,1,6,1,3,0,0,0,40,0, <=50K
20,2,447,9,1,9,1,0,0,0,0,40,0, <=50K
